seen_count,alsa,pick_count,ata,game_count,win_rate,sideboard_game_count,sideboard_win_rate,opening_hand_game_count,oh wr,drawn_game_count,drawn_win_rate,ever_drawn_game_count,gd wr,never_drawn_game_count,never_drawn_win_rate,iwd,name,color,rarity,url,url_back,expansion,id,types
1959,1.2394079,1589,1.217747,8271,0.55071938,0,,1081,0.61054579,1656,0.6147343,2705,0.61182994,3616,0.5107854,0.10104454000000007,Felidar Retreat,W,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/4/5/45340647-4d3e-4be1-b0e6-e40cc56a438b.jpg?1604195832,,ZNR,73199,Enchantment
1959,1.2394079,1589,1.217747,8271,0.55071938,0,,1081,0.61054579,1656,0.6147343,2705,0.61182994,3616,0.5107854,0.10104454000000007,Felidar Retreat,W,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/4/5/45340647-4d3e-4be1-b0e6-e40cc56a438b.jpg?1604195832,,ZNR,74660,Enchantment
11275,2.5647894,4133,2.8301476,17572,0.54609606,0,,2379,0.54350567,4007,0.57100075,5973,0.56119203,7317,0.53970206,0.02148996999999997,Journey to Oblivion,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/4/7/47120e3c-73aa-468d-96b7-47aead342e31.jpg?1604195865,,ZNR,73200,Enchantment
78157,6.5485625,11170,9.2413608,26929,0.54346615,0,,4012,0.53489531,6784,0.54775943,9687,0.54836379,11095,0.55394322,-0.005579429999999941,Kabira Outrider,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/5/3/53c81719-f820-4674-9cfb-cd5eaf0c1f0d.jpg?1604195914,,ZNR,73201,Creature - Human Warrior
17540,3.3017674,5500,3.8856364,24321,0.54981292,0,,3551,0.56434807,5280,0.57253788,8079,0.56900607,10033,0.5429084,0.026097670000000073,Kabira Takedown,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/3/6/366e9845-019d-47cc-adb8-8fbbaad35b6d.jpg?1604195985,https://c1.scryfall.com/file/scryfall-cards/border_crop/back/3/6/366e9845-019d-47cc-adb8-8fbbaad35b6d.jpg?1604195985,ZNR,73202,Instant
21227,4.6225091,3617,6.3021841,12759,0.54291089,0,,1763,0.57231991,2725,0.52587156,4207,0.54504397,5263,0.55310659,-0.00806261999999991,Kitesail Cleric,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/1/6/16626f84-00d3-4ec9-b62c-19fff380cd3a.jpg?1604195997,,ZNR,73204,Creature - Kor Cleric
19372,4.3179331,3792,5.3958333,12111,0.55049129,0,,2099,0.59742735,2673,0.54657688,4316,0.57066728,5111,0.54118568,0.029481599999999997,Kor Blademaster,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/c/fc6d6049-5599-47eb-ae58-a8eb96927ece.jpg?1604192436,,ZNR,73205,Creature - Kor Warrior
59338,4.765833,12746,5.9779539,34335,0.5416339,0,,7426,0.55723135,11831,0.55515172,14662,0.55667712,11630,0.52424764,0.03242948000000001,Kor Celebrant,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/8/7/87c37e46-a961-4739-8893-f783013e2be6.jpg?1604192472,,ZNR,73206,Creature - Kor Cleric
3086,2.0693454,1400,2.1185714,6125,0.5397551,0,,756,0.5489418,1330,0.54586466,1917,0.54877413,2711,0.53965326,0.009120869999999948,Legion Angel,W,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/b/d/bda5609a-ab22-4f03-988b-8056c97fdc9e.jpg?1604192509,,ZNR,73207,Creature - Angel Warrior
2163,1.4558484,1481,1.4166104,7747,0.58409707,0,,1076,0.74349442,1676,0.62470167,2601,0.67204921,3355,0.51505216,0.15699704999999997,Luminarch Aspirant,W,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/e/fe964e7e-e2c5-4263-889d-0a531eb51442.jpg?1604192525,,ZNR,73208,Creature - Human Cleric
81912,7.3653189,8617,10.924916,8004,0.5089955,0,,942,0.51380042,1721,0.49622313,2392,0.50250836,3165,0.5093207,-0.006812339999999972,Makindi Ox,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/d/fd0d164a-bce2-4474-abe0-b735eb6c9442.jpg?1604192569,,ZNR,73209,Creature - Ox
81912,7.3653189,8617,10.924916,8004,0.5089955,0,,942,0.51380042,1721,0.49622313,2392,0.50250836,3165,0.5093207,-0.006812339999999972,Makindi Ox,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/d/fd0d164a-bce2-4474-abe0-b735eb6c9442.jpg?1604192569,,ZNR,74661,Creature - Ox
25399,4.811528,5235,6.2997135,21528,0.53576737,0,,2818,0.50035486,4324,0.51295097,6582,0.51063507,8744,0.56164227,-0.05100720000000003,Makindi Stampede,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/a/d/ada9a974-8f1f-4148-bd61-200fc14714b2.jpg?1604192616,https://c1.scryfall.com/file/scryfall-cards/border_crop/back/a/d/ada9a974-8f1f-4148-bd61-200fc14714b2.jpg?1604192616,ZNR,73210,Sorcery
2146,1.3942218,1520,1.3697368,7551,0.56482585,0,,981,0.63302752,1436,0.61211699,2386,0.61986588,3243,0.52913969,0.09072618999999993,Maul of the Skyclaves,W,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/1/f18f2608-0d44-442c-97a1-12ac94b7abac.jpg?1604192639,,ZNR,73212,Artifact - Equipment
85687,8.1414917,9782,11.651298,5559,0.50692571,0,,830,0.48313253,1191,0.48026868,1806,0.49003322,2105,0.52541568,-0.03538246000000006,Mesa Lynx,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/6/f65af09b-656f-4d81-b95d-b4f902e56bb7.jpg?1604192681,,ZNR,73213,Creature - Cat
44660,3.5069637,8680,4.4904378,30221,0.53598491,0,,4467,0.51936423,7280,0.52623626,10376,0.52746723,11467,0.54434464,-0.016877410000000093,Nahiri's Binding,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/4/2/421eac28-d6f2-44f2-b7ca-eb73fbf23887.jpg?1604192763,,ZNR,73214,Enchantment - Aura
4902,3.2060384,1188,3.7516835,3991,0.52442997,0,,513,0.51267057,753,0.53784861,1205,0.53278008,1457,0.51475635,0.018023730000000016,Ondu Inversion,W,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/b/6/b6e6be8c-41c3-4348-a8dd-b40ceb24e9b4.jpg?1604243286,https://c1.scryfall.com/file/scryfall-cards/border_crop/back/b/6/b6e6be8c-41c3-4348-a8dd-b40ceb24e9b4.jpg?1604243286,ZNR,73215,Sorcery
20003,4.4832275,3286,5.8953135,10991,0.5408971,0,,1807,0.55949087,2490,0.5248996,3851,0.54297585,4746,0.55330805,-0.010332200000000014,Paired Tactician,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/6/7/67930e10-4de8-4d40-af27-4a38d35ab16f.jpg?1604192873,,ZNR,73217,Creature - Human Warrior
76167,6.4097312,11338,8.894955,26555,0.54468085,0,,4349,0.54633249,7313,0.55613291,10273,0.55173756,10742,0.5436604,0.008077159999999917,Practiced Tactics,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/9/1/91b448f4-aa0c-42c7-a771-e8dd20e0520c.jpg?1604192922,,ZNR,73218,Instant
86407,8.4437256,8684,12.356863,2084,0.50047985,0,,243,0.44032922,421,0.52969121,634,0.48580442,816,0.52328431,-0.03747988999999996,Pressure Point,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/2/f/2fe82bbf-9b92-4684-a42d-fbc50c4c5903.jpg?1604192958,,ZNR,73219,Instant
62377,5.0354778,7240,7.4337017,17282,0.51776415,0,,2683,0.51546776,4320,0.48402778,5815,0.50748065,6115,0.52412101,-0.01664036000000002,Prowling Felidar,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/b/9/b9d1c11a-a32c-449c-95c6-450dce6c26d2.jpg?1604193011,,ZNR,73220,Creature - Cat Beast
62377,5.0354778,7240,7.4337017,17282,0.51776415,0,,2683,0.51546776,4320,0.48402778,5815,0.50748065,6115,0.52412101,-0.01664036000000002,Prowling Felidar,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/b/9/b9d1c11a-a32c-449c-95c6-450dce6c26d2.jpg?1604193011,,ZNR,74662,Creature - Cat Beast
83904,7.7726449,10007,11.09973,11883,0.55154422,0,,1676,0.5447494,2417,0.540753,3894,0.54725218,5352,0.56390135,-0.01664916999999999,Resolute Strike,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/7/8/78b82476-4320-4719-9785-af8d68503234.jpg?1619795129,,ZNR,73221,Instant
77064,6.4544405,10361,9.1774925,28104,0.55148733,0,,4490,0.57104677,6494,0.5486603,10269,0.56159314,12444,0.54741241,0.014180730000000086,Sea Gate Banneret,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/6/a/6ae4634e-1487-4b66-8f70-bcb4b1fa6e77.jpg?1604193084,,ZNR,73222,Creature - Kor Warrior
21177,3.8955943,5350,4.871215,23415,0.54653,0,,3389,0.5452936,4836,0.54114971,7630,0.54259502,9665,0.56026901,-0.017673989999999917,Sejiri Shelter,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/2/f25d56f9-aa54-4657-9ac9-e93fbba3e715.jpg?1604193214,https://c1.scryfall.com/file/scryfall-cards/border_crop/back/f/2/f25d56f9-aa54-4657-9ac9-e93fbba3e715.jpg?1604193214,ZNR,73223,Instant
50998,3.9294286,12670,4.9426204,42922,0.55011416,0,,7494,0.55671204,13460,0.57072808,16974,0.56863438,15813,0.53652058,0.03211379999999997,Shepherd of Heroes,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/1/f/1f70baa3-5232-4e10-80b4-a9ead6ed6ec3.jpg?1604235790,,ZNR,73225,Creature - Angel Cleric
2792,1.9258596,1227,1.9193154,5279,0.56165941,0,,704,0.58522727,1100,0.59,1727,0.59061957,2322,0.54134367,0.04927589999999993,Skyclave Apparition,W,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/b/8/b83cfbaa-7890-4f6f-878b-4edb45677371.jpg?1604193295,,ZNR,73226,Creature - Kor Spirit
22546,4.2088175,4677,5.5334616,19676,0.5389815,0,,2786,0.55061019,3958,0.53284487,6296,0.54209022,7922,0.54746276,-0.005372540000000092,Skyclave Cleric,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/0/1/014027c4-7f9d-4096-b308-ea4be574c0d4.jpg?1604243887,https://c1.scryfall.com/file/scryfall-cards/border_crop/back/0/1/014027c4-7f9d-4096-b308-ea4be574c0d4.jpg?1604243887,ZNR,73227,Creature - Kor Cleric
2719,1.8539904,1574,1.8106734,7690,0.57737321,0,,985,0.64974619,1549,0.63976759,2460,0.64227642,3384,0.53812057,0.10415584999999994,Squad Commander,W,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/c/2/c2ce186d-c9cd-41e9-bac2-ad9d36c4939f.jpg?1604193386,,ZNR,73229,Creature - Kor Warrior
77675,6.7814226,6369,10.570105,7488,0.51575855,0,,850,0.49764706,1435,0.51498258,2196,0.51502732,2899,0.51293549,0.0020918299999999057,Smite the Monstrous,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/9/c/9c103163-31b7-4d25-aa2c-02ca082ee1bf.jpg?1604193448,,ZNR,73230,Instant
73290,5.8721654,10659,8.2127779,25643,0.52809734,0,,4019,0.50012441,6023,0.51469367,8636,0.51320056,9330,0.54833869,-0.03513812999999999,Tazeem Raptor,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/2/9/299d60b9-0ba7-40ee-b9d0-ee8f1ea288c9.jpg?1604589296,,ZNR,73231,Creature - Bird
1205,1.5742739,765,1.4849673,3627,0.56299972,0,,468,0.59615385,849,0.57832744,1202,0.5906822,1572,0.54198473,0.04869747000000002,"Tazri, Beacon of Unity",WUBRG,mythic,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/d/4/d4b79138-5728-4541-9ea5-dce1a5ae7e6a.jpg?1604193517,,ZNR,73232,Legendary Creature - Human Warrior
79222,6.9621822,9801,10.258239,13851,0.54118836,0,,2047,0.56033219,3352,0.55459427,4920,0.5546748,5012,0.52773344,0.026941360000000025,Anticognition,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/d/b/db99b872-77c7-4471-9c44-a36d4ff5d33f.jpg?1604193539,,ZNR,73233,Instant
28757,5.3591473,6626,7.0415032,27570,0.53108451,0,,3941,0.52296371,6479,0.54005248,9756,0.53198032,10270,0.52999026,0.0019900599999999047,Beyeen Veil,U,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/5/f/5f411f08-45dd-4d73-8894-daf51c175150.jpg?1604193600,https://c1.scryfall.com/file/scryfall-cards/border_crop/back/5/f/5f411f08-45dd-4d73-8894-daf51c175150.jpg?1604193600,ZNR,73234,Instant
44529,3.5135979,14954,4.20436,51401,0.5384331,0,,9430,0.52057264,16744,0.57937172,21821,0.55845287,17314,0.51599861,0.042454259999999966,Bubble Snare,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/1/b/1bfba7a0-d5ca-4197-9e58-21f28345f1a6.jpg?1604193650,,ZNR,73236,Enchantment - Aura
80391,6.9107985,11334,9.8638609,19333,0.51073294,0,,2713,0.48544047,5369,0.52989383,7244,0.51601325,7349,0.50796027,0.008052979999999987,Cascade Seer,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/1/3/13105c88-2926-40ad-bc7a-09d515aa36c6.jpg?1604193685,,ZNR,73237,Creature - Merfolk Wizard
3274,2.1771533,1727,2.178923,7543,0.52048257,0,,1013,0.52418559,1969,0.51091925,2786,0.52368988,3135,0.52727273,-0.0035828499999999153,"Charix, the Raging Isle",U,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/e/8/e83a6804-1e3c-428c-af5e-1d56ba11c108.jpg?1604193709,,ZNR,73238,Legendary Creature - Leviathan Crab
83063,7.499079,14908,10.002012,24058,0.53109153,0,,4647,0.53217129,9470,0.56789863,11084,0.55214724,8316,0.50420875,0.047938490000000056,Chilling Trap,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/6/0/60f9adfd-a940-4d62-894b-84f17c693a10.jpg?1604193730,,ZNR,73239,Instant
80820,7.0681267,10550,10.270616,15729,0.50009537,0,,2293,0.49105975,3925,0.47796178,5613,0.48975592,5557,0.50206946,-0.012313539999999956,Cleric of Chill Depths,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/b/4/b4ea262c-ea32-4aca-b96b-58f556a8dffc.jpg?1604193763,,ZNR,73240,Creature - Merfolk Cleric
30158,7.6574707,3315,11.380995,831,0.47172082,0,,91,0.51648352,191,0.47643979,275,0.49090909,346,0.48265896,0.008250129999999967,Concerted Defense,U,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/2/3/235c108d-3902-4c2e-919c-a5449cd2dc3c.jpg?1604193820,,ZNR,73241,Instant
8558,5.4688011,1064,7.987782,72,0.38888889,0,,4,0.25,11,0.0,15,0.066666667,12,0.33333333,-0.26666666299999997,Confounding Conundrum,U,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/9/5/95e37936-913e-4b16-a5a8-8aed733d702d.jpg?1604193855,,ZNR,73242,Enchantment
3920,2.6563776,1631,2.72103,7337,0.54790786,0,,970,0.57731959,1708,0.58606557,2581,0.58504456,2953,0.51100576,0.07403880000000007,Coralhelm Chronicler,U,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/5/0/50b54524-8345-4b47-913f-d883a1cbe3a1.jpg?1604193917,,ZNR,73243,Creature - Merfolk Wizard
59682,4.4883549,15164,5.7780269,50893,0.53252903,0,,9367,0.51425216,17549,0.56755371,21870,0.54778235,16913,0.51552061,0.03226173999999993,Cunning Geysermage,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/2/2/2217f0a9-5af5-45cc-8cf7-8878d4f66dd8.jpg?1604193977,,ZNR,73244,Creature - Human Wizard
82497,7.4156636,10067,10.777391,10458,0.5102314,0,,1436,0.50348189,2534,0.52525651,3635,0.51361761,3736,0.50562099,0.007996619999999899,Deliberate,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/c/4/c41c0dd0-fef2-4f3c-8f3c-9c9c521b5442.jpg?1604194005,,ZNR,73245,Instant
61817,4.7337302,14144,6.2248303,44056,0.52973488,0,,8270,0.51886336,16095,0.54228021,19098,0.53539638,14701,0.52234542,0.013050960000000056,Expedition Diviner,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/0/9/090f6e94-fb5f-4861-a465-f11766303676.jpg?1604194021,,ZNR,73246,Creature - Merfolk Wizard
